, 2,0.9470,0.7382,0.4628,0.2318,0.0889,0.0250,0.0043,0.0003,0.0000,0.0000,0.0000
, 3,0.9917,0.9144,0.7297,0.4826,0.2539,0.0994,0.0253,0.0031,0.0001,0.0000,0.0000
, 4,0.9991,0.9804,0.9012,0.7334,0.5000,0.2666,0.0988,0.0196,0.0009,0.0000,0.0000
, 5,0.9999,0.9969,0.9747,0.9006,0.7461,0.5174,0.2703,0.0856,0.0083,0.0006,0.0000
, 6,1.0000,0.9997,0.9957,0.9750,0.9102,0.7682,0.5372,0.2618,0.0530,0.0084,0.0001
, 7,1.0000,1.0000,0.9996,0.9962,0.9805,0.9295,0.8040,0.5638,0.2252,0.0712,0.0034
, 8,1.0000,1.0000,1.0000,0.9997,0.9980,0.9899,0.9596,0.8658,0.6126,0.3698,0.0865
10, 0,0.3487,0.1074,0.0282,0.0060,0.0010,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000
, 1,0.7361,0.3758,0.1493,0.0464,0.0107,0.0017,0.0001,0.0000,0.0000,0.0000,0.0000
, 2,0.9298,0.6778,0.3828,0.1673,0.0547,0.0123,0.0016,0.0001,0.0000,0.0000,0.0000
, 3,0.9872,0.8791,0.6496,0.3823,0.1719,0.0548,0.0106,0.0009,0.0000,0.0000,0.0000
, 4,0.9984,0.9672,0.8497,0.6331,0.3770,0.1662,0.0473,0.0064,0.0001,0.0000,0.0000
, 5,0.9999,0.9936,0.9527,0.8338,0.6230,0.3669,0.1503,0.0328,0.0016,0.0001,0.0000
, 6,1.0000,0.9991,0.9894,0.9452,0.8281,0.6177,0.3504,0.1209,0.0128,0.0010,0.0000
, 7,1.0000,0.9999,0.9984,0.9877,0.9453,0.8327,0.6172,0.3222,0.0702,0.0115,0.0001
, 8,1.0000,1.0000,0.9999,0.9983,0.9893,0.9536,0.8507,0.6242,0.2639,0.0861,0.0043
, 9,1.0000,1.0000,1.0000,0.9999,0.9990,0.9940,0.9718,0.8926,0.6513,0.4013,0.0956
11, 0,0.3138,0.0859,0.0198,0.0036,0.0005,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
, 1,0.6974,0.3221,0.1130,0.0302,0.0059,0.0007,0.0000,0.0000,0.0000,0.0000,0.0000
, 2,0.9104,0.6174,0.3127,0.1189,0.0327,0.0059,0.0006,0.0000,0.0000,0.0000,0.0000
, 3,0.9815,0.8389,0.5696,0.2963,0.1133,0.0293,0.0043,0.0002,0.0000,0.0000,0.0000
, 4,0.9972,0.9496,0.7897,0.5328,0.2744,0.0994,0.0216,0.0020,0.0000,0.0000,0.0000
, 5,0.9997,0.9883,0.9218,0.7535,0.5000,0.2465,0.0782,0.0117,0.0003,0.0000,0.0000
, 6,1.0000,0.9980,0.9784,0.9006,0.7256,0.4672,0.2103,0.0504,0.0028,0.0001,0.0000
, 7,1.0000,0.9998,0.9957,0.9707,0.8867,0.7037,0.4304,0.1611,0.0185,0.0016,0.0000
, 8,1.0000,1.0000,0.9994,0.9941,0.9673,0.8811,0.6873,0.3826,0.0896,0.0152,0.0002
, 9,1.0000,1.0000,1.0000,0.9993,0.9941,0.9698,0.8870,0.6779,0.3026,0.1019,0.0052
,10,1.0000,1.0000,1.0000,1.0000,0.9995,0.9964,0.9802,0.9141,0.6862,0.4312,0.1047
12, 0,0.2824,0.0687,0.0138,0.0022,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
, 1,0.6590,0.2749,0.0850,0.0196,0.0032,0.0003,0.0000,0.0000,0.0000,0.0000,0.0000
, 2,0.8891,0.5583,0.2528,0.0834,0.0193,0.0028,0.0002,0.0000,0.0000,0.0000,0.0000
, 3,0.9744,0.7946,0.4925,0.2253,0.0730,0.0153,0.0017,0.0001,0.0000,0.0000,0.0000
, 4,0.9957,0.9274,0.7237,0.4382,0.1938,0.0573,0.0095,0.0006,0.0000,0.0000,0.0000
, 5,0.9995,0.9806,0.8822,0.6652,0.3872,0.1582,0.0386,0.0039,0.0001,0.0000,0.0000
, 6,0.9999,0.9961,0.9614,0.8418,0.6128,0.3348,0.1178,0.0194,0.0005,0.0000,0.0000
, 7,1.0000,0.9994,0.9905,0.9427,0.8062,0.5618,0.2763,0.0726,0.0043,0.0002,0.0000
, 8,1.0000,0.9999,0.9983,0.9847,0.9270,0.7747,0.5075,0.2054,0.0256,0.0022,0.0000
, 9,1.0000,1.0000,0.9998,0.9972,0.9807,0.9166,0.7472,0.4417,0.1109,0.0196,0.0002
,10,1.0000,1.0000,1.0000,0.9997,0.9968,0.9804,0.9150,0.7251,0.3410,0.1184,0.0062
,11,1.0000,1.0000,1.0000,1.0000,0.9998,0.9978,0.9862,0.9313,0.7176,0.4596,0.1136
13, 0,0.2542,0.0550,0.0097,0.0013,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
, 1,0.6213,0.2336,0.0637,0.0126,0.0017,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000
, 2,0.8661,0.5017,0.2025,0.0579,0.0112,0.0013,0.0001,0.0000,0.0000,0.0000,0.0000
, 3,0.9658,0.7473,0.4206,0.1686,0.0461,0.0078,0.0007,0.0000,0.0000,0.0000,0.0000
, 4,0.9935,0.9009,0.6543,0.3530,0.1334,0.0321,0.0040,0.0002,0.0000,0.0000,0.0000
, 5,0.9991,0.9700,0.8346,0.5744,0.2905,0.0977,0.0182,0.0012,0.0000,0.0000,0.0000
, 6,0.9999,0.9930,0.9376,0.7712,0.5000,0.2288,0.0624,0.0070,0.0001,0.0000,0.0000
, 7,1.0000,0.9988,0.9818,0.9023,0.7095,0.4256,0.1654,0.0300,0.0009,0.0000,0.0000
, 8,1.0000,0.9988,0.9960,0.9679,0.8666,0.6470,0.3457,0.0991,0.0065,0.0003,0.0000
, 9,1.0000,1.0000,0.9993,0.9922,0.9539,0.8314,0.5794,0.2527,0.0342,0.0031,0.0000
,10,1.0000,1.0000,0.9999,0.9987,0.9888,0.9421,0.7975,0.4983,0.1339,0.0245,0.0003
,11,1.0000,1.0000,1.0000,0.9999,0.9983,0.9874,0.9363,0.7664,0.3787,0.1354,0.0072
,12,1.0000,1.0000,1.0000,1.0000,0.9999,0.9987,0.9903,0.9450,0.7458,0.4867,0.1225
14, 0,0.2288,0.0440,0.0068,0.0008,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
, 1,0.5846,0.1979,0.0475,0.0081,0.0009,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000
, 2,0.8416,0.4481,0.1608,0.0398,0.0065,0.0006,0.0000,0.0000,0.0000,0.0000,0.0000
, 3,0.9559,0.6982,0.3552,0.1243,0.0287,0.0039,0.0002,0.0000,0.0000,0.0000,0.0000
, 4,0.9908,0.8702,0.5842,0.2793,0.0898,0.0175,0.0017,0.0000,0.0000,0.0000,0.0000
, 5,0.9985,0.9561,0.7805,0.4859,0.2120,0.0583,0.0083,0.0004,0.0000,0.0000,0.0000
, 6,0.9998,0.9884,0.9067,0.6925,0.3953,0.1501,0.0315,0.0024,0.0000,0.0000,0.0000
, 7,1.0000,0.9976,0.9685,0.8499,0.6047,0.3075,0.0933,0.0116,0.0002,0.0000,0.0000
, 8,1.0000,0.9996,0.9917,0.9417,0.7880,0.5141,0.2195,0.0439,0.0015,0.0000,0.0000
, 9,1.0000,1.0000,0.9983,0.9825,0.9102,0.7207,0.4158,0.1298,0.0092,0.0004,0.0000
,10,1.0000,1.0000,0.9998,0.9961,0.9713,0.8757,0.6448,0.3018,0.0441,0.0042,0.0000
,11,1.0000,1.0000,1.0000,0.9994,0.9935,0.9602,0.8392,0.5519,0.1584,0.0301,0.0003
,12,1.0000,1.0000,1.0000,0.9999,0.9991,0.9919,0.9525,0.8021,0.4154,0.1530,0.0084
,13,1.0000,1.0000,1.0000,1.0000,0.9999,0.9992,0.9932,0.9560,0.7712,0.5123,0.1313
15, 0,0.2059,0.0352,0.0047,0.0005,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
, 1,0.5490,0.1671,0.0353,0.0052,0.0005,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
, 2,0.8159,0.3980,0.1268,0.0271,0.0037,0.0003,0.0000,0.0000,0.0000,0.0000,0.0000
, 3,0.9444,0.6482,0.2969,0.0905,0.0176,0.0019,0.0001,0.0000,0.0000,0.0000,0.0000
, 4,0.9873,0.8358,0.5155,0.2173,0.0592,0.0093,0.0007,0.0000,0.0000,0.0000,0.0000
, 5,0.9978,0.9389,0.7216,0.4032,0.1509,0.0338,0.0037,0.0001,0.0000,0.0000,0.0000
, 6,0.9997,0.9819,0.8689,0.6098,0.3036,0.0950,0.0152,0.0008,0.0000,0.0000,0.0000
, 7,1.0000,0.9958,0.9500,0.7869,0.5000,0.2131,0.0500,0.0042,0.0000,0.0000,0.0000
, 8,1.0000,0.9992,0.9848,0.9050,0.6964,0.3902,0.1311,0.0181,0.0003,0.0000,0.0000
, 9,1.0000,0.9999,0.9963,0.9662,0.8491,0.5968,0.2784,0.0611,0.0022,0.0001,0.0000
,10,1.0000,1.0000,0.9993,0.9907,0.9408,0.7827,0.4845,0.1642,0.0127,0.0006,0.0000
,11,1.0000,1.0000,0.9999,0.9981,0.9824,0.9095,0.7031,0.3518,0.0556,0.0055,0.0000
,12,1.0000,1.0000,1.0000,0.9997,0.9963,0.9729,0.8732,0.6020,1841.0000,0.0362,0.0004
,13,1.0000,1.0000,1.0000,1.0000,0.9995,0.9948,0.9647,0.8329,0.4510,0.1710,0.0096
,14,1.0000,1.0000,1.0000,1.0000,1.0000,0.9995,0.9953,0.9648,0.7941,0.5367,0.1399
20, 0,0.1216,0.0115,0.0008,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
, 1,0.3917,0.0692,0.0076,0.0005,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
, 2,0.6769,0.2061,0.0355,0.0036,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
, 3,0.8670,0.4114,0.1071,0.0160,0.0013,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
, 4,0.9568,0.6296,0.2375,0.0510,0.0059,0.0003,0.0000,0.0000,0.0000,0.0000,0.0000
, 5,0.9887,0.8042,0.4164,0.1256,0.0207,0.0016,0.0000,0.0000,0.0000,0.0000,0.0000
, 6,0.9976,0.9133,0.6080,0.2500,0.0577,0.0065,0.0003,0.0000,0.0000,0.0000,0.0000
, 7,0.9996,0.9679,0.7723,0.4159,0.1316,0.0210,0.0013,0.0000,0.0000,0.0000,0.0000
, 8,0.9999,0.9900,0.8867,0.5956,0.2517,0.0565,0.0051,0.0001,0.0000,0.0000,0.0000
, 9,1.0000,0.9974,0.9520,0.7553,0.4119,0.1275,0.0171,0.0006,0.0000,0.0000,0.0000
,10,1.0000,0.9994,0.9829,0.8725,0.5881,0.2447,0.0480,0.0026,0.0000,0.0000,0.0000
,11,1.0000,0.9999,0.9949,0.9435,0.7483,0.4044,0.1133,0.0100,0.0001,0.0000,0.0000
,12,1.0000,1.0000,0.9987,0.9790,0.8684,0.5841,0.2277,0.0321,0.0004,0.0000,0.0000
,13,1.0000,1.0000,0.9997,0.9935,0.9423,0.7500,0.3920,0.0867,0.0024,0.0000,0.0000
,14,1.0000,1.0000,1.0000,0.9984,0.9793,0.8744,0.5836,0.1958,0.0113,0.0003,0.0000
,15,1.0000,1.0000,1.0000,0.9997,0.9941,0.9490,0.7625,0.3704,0.0432,0.0026,0.0000
,16,1.0000,1.0000,1.0000,1.0000,0.9987,0.9840,0.8929,0.5886,0.1330,0.0159,0.0000
,17,1.0000,1.0000,1.0000,1.0000,0.9998,0.9964,0.9645,0.7939,0.3231,0.0755,0.0010
,18,1.0000,1.0000,1.0000,1.0000,1.0000,0.9995,0.9924,0.9308,0.6083,0.2642,0.0169
,19,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9992,0.9885,0.8784,0.6415,0.1821
